"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           1,          14,      -1.423187931,      0.8314751427,      0.8095004672,       4.060701667,    0.008998711909,      0.3590426914,                 0,                 0,                 0,     0.08032394305,   -0.003537179087,      0.3591380228,                 0,       39.89934282
          0,           1,          15,      -1.449699873,      0.7760687897,      0.7576571015,       4.032224298,    0.009487651501,       0.356577037,                 0,                 0,                 0,     0.08047576244,   -0.002962487246,      0.3566909341,                 0,       37.58327727
          0,           1,          16,      -1.479594963,      0.7229028601,      0.7151259058,       4.002358129,     0.01001466991,      0.3544355275,                 0,                 0,                 0,     0.08048625688,   -0.002361052276,      0.3545691218,                 0,       35.39163353
          0,           1,          17,      -1.511972128,      0.6712266098,      0.6799177049,       3.971476748,     0.01052847396,      0.3525447732,                 0,                 0,                 0,      0.0803985339,   -0.001781574851,      0.3526974509,                 0,       33.48488817
          0,           1,          18,      -1.545209763,      0.6212853189,      0.6456768897,       3.940495808,     0.01100448789,      0.3509267898,                 0,                 0,                 0,     0.08029251614,   -0.001249384091,      0.3510970658,                 0,       31.88942487
          0,           1,          19,      -1.578962379,      0.5728398777,      0.6113487786,        3.90889789,     0.01142178992,      0.3495602996,                 0,                 0,                 0,      0.0802163281,  -0.0007846464452,      0.3497459717,                 0,       30.60468647
          0,           1,          20,      -1.613094089,       0.523095551,      0.5770141013,       3.876151556,     0.01176920265,      0.3483705522,                 0,                 0,                 0,     0.08018436722,  -0.0003959237723,      0.3485690736,                 0,       29.60018301
          0,           1,          21,      -1.648896193,      0.4676425956,      0.5407433245,       3.840729885,     0.01204721758,      0.3473021098,                 0,                 0,                 0,     0.08020384667,  -8.079009292e-05,      0.3475109846,                 0,        28.8284085
          0,           1,          22,      -1.686674801,      0.4066883677,      0.5020685073,       3.802690274,     0.01225373459,      0.3463702411,                 0,                 0,                 0,     0.08027604487,   0.0001581228526,      0.3465868909,                 0,       28.26650428
          0,           1,          23,       -1.72560751,      0.3419504024,       0.463924934,       3.763232191,     0.01238647148,      0.3455711641,                 0,                 0,                 0,     0.08038760842,   0.0003186662728,      0.3457929331,                 0,       27.89908044
          0,           1,          24,      -1.764462753,      0.2758087527,      0.4271584834,        3.72361837,     0.01244735943,      0.3448920297,                 0,                 0,                 0,     0.08051961654,   0.0004032185843,      0.3451163374,                 0,       27.70804776
          0,           1,          25,      -1.802916075,      0.2127579081,      0.3912818385,       3.684200006,     0.01244384347,      0.3443213549,                 0,                 0,                 0,     0.08065375205,   0.0004196210295,      0.3445458875,                 0,       27.67001656
          0,           1,          26,      -1.840851029,      0.1588680012,      0.3558875263,       3.645288257,     0.01238811274,      0.3438517268,                 0,                 0,                 0,       0.080776546,   0.0003803140316,      0.3440746005,                 0,       27.75658682
          0,           1,          27,      -1.878012376,      0.1167615498,      0.3207595851,       3.607386547,     0.01229282396,      0.3434615814,                 0,                 0,                 0,     0.08087134458,   0.0002986991746,      0.3436813672,                 0,       27.94000651
          0,           1,          28,      -1.914820957,     0.08645031532,      0.2858650168,       3.570232881,     0.01217200592,      0.3431343912,                 0,                 0,                 0,     0.08092675451,   0.0001893735114,      0.3433501599,                 0,       28.19045549
          0,           1,          29,      -1.951206905,      0.0637676262,      0.2516468291,       3.533854798,     0.01203926985,      0.3428564801,                 0,                 0,                 0,     0.08093655829,   6.641725445e-05,      0.3430677856,                 0,       28.47817886
          0,           1,          30,      -1.987110685,     0.04309861557,      0.2178135572,       3.498155091,     0.01190560673,      0.3426114737,                 0,                 0,                 0,     0.08089799599,   -5.86138416e-05,      0.3428182638,                 0,        28.7773216
          0,           1,          31,      -2.022589025,     0.02091353274,      0.1831730156,       3.462959149,      0.0117793208,      0.3423845015,                 0,                 0,                 0,     0.08081273637,  -0.0001769016271,      0.3425870225,                 0,       29.06657416
          0,           1,          32,        -2.0578453,   -0.004374566555,      0.1472649673,       3.428019785,     0.01166650078,      0.3421642694,                 0,                 0,                 0,     0.08068571621,  -0.0002819669311,      0.3423629872,                 0,       29.32878298
          0,           1,          33,      -2.093245775,    -0.03292526155,      0.1108152709,       3.392940752,     0.01157124837,      0.3419403321,                 0,                 0,                 0,     0.08052374872,  -0.0003693460125,       0.342135862,                 0,       29.55085926
          0,           1,          34,      -2.128478815,    -0.06455124291,     0.07430655529,       3.358024269,     0.01149626513,      0.3417070679,                 0,                 0,                 0,     0.08033631218,  -0.0004361427738,       0.341900123,                 0,       29.72331136
          0,           1,          35,       -2.16373506,    -0.09938358953,     0.03818520641,       3.322997054,     0.01144277307,      0.3414613927,                 0,                 0,                 0,     0.08013486576,  -0.0004810283052,      0.3416527307,                 0,       29.84079039
          0,           1,          36,       -2.19871369,     -0.1373067877,    0.003658413429,       3.288094613,     0.01141029781,      0.3412036932,                 0,                 0,                 0,       0.079931245,  -0.0005044902044,      0.3413940548,                 0,       29.90313653
          0,           1,          37,      -2.233620465,     -0.1765741076,     -0.0282025484,       3.253100194,     0.01139697996,      0.3409362116,                 0,                 0,                 0,     0.07973632416,  -0.0005084649658,      0.3411262713,                 0,       29.91461008
          0,           1,          38,      -2.268313446,     -0.2151208806,    -0.05711586271,       3.218186931,     0.01140011074,      0.3406623361,                 0,                 0,                 0,     0.07955947962,  -0.0004957779741,      0.3408526719,                 0,       29.88237078
          0,           1,          39,       -2.30274815,     -0.2515310994,    -0.08441792761,       3.183465063,     0.01141637786,      0.3403860263,                 0,                 0,                 0,     0.07940788642,   -0.000469877688,      0.3405770981,                 0,       29.81558865
          0,           2,           0,      -1.542459909,       0.905962727,      0.9405153198,       3.943792447,     0.01840593639,      0.4122271012,                 0,                 0,                 0,     0.09988732785,    0.004008205634,      0.4126183415,                 0,       22.39642105
          0,           2,           1,      -1.828526904,      0.7188361766,      0.7180435072,        3.67796936,     0.01844158336,       0.421785373,                 0,                 0,                 0,      0.1000098342,    0.003710252015,      0.4221720347,                 0,       22.87142946
          0,           2,           2,      -1.750377498,      0.7923622387,      0.7889540731,        3.74303007,     0.01822500078,      0.4226923673,                 0,                 0,                 0,      0.0962024735,    0.003462147721,      0.4230709179,                 0,       23.19299584
          0,           2,           3,      -1.728081287,      0.7697679842,      0.7587420721,       3.762041199,      0.0182579183,      0.4284686301,                 0,                 0,                 0,     0.09392004332,    0.003293456532,      0.4288448107,                 0,       23.46755106
          0,           2,           4,      -1.725964468,      0.7507378848,      0.7530986477,       3.774810523,     0.01852162701,      0.4378373325,                 0,                 0,                 0,     0.09322213601,    0.003230041591,      0.4382170093,                 0,       23.63924791
          0,           2,           5,      -1.744709794,       0.734997919,      0.7487751167,       3.759286295,     0.01885880971,      0.4471865359,                 0,                 0,                 0,     0.09286449325,      0.0032407364,      0.4475722849,                 0,       23.71234149
          0,           2,           6,      -1.782064974,      0.6887319163,      0.7010886901,       3.711297058,     0.01916866268,      0.4546860994,                 0,                 0,                 0,     0.09216524478,    0.003288669619,      0.4550780936,                 0,       23.72028279
          0,           2,           7,      -1.819269493,      0.6151273466,      0.6093295864,       3.658773495,     0.01941866368,      0.4601422767,                 0,                 0,                 0,     0.09108219138,    0.003348100482,      0.4605396721,                 0,       23.69587755
          0,           2,           8,      -1.841362089,      0.5505441359,      0.5117804878,       3.633573189,     0.01961071716,      0.4640687125,                 0,                 0,                 0,     0.08987365045,    0.003403006335,      0.4644704185,                 0,       23.66403578
          0,           2,           9,      -1.853384422,      0.5246874577,      0.4673328489,       3.631479952,     0.01974701274,      0.4669537964,                 0,                 0,                 0,      0.0887786579,    0.003438530913,      0.4673585016,                 0,       23.64680687
          0,           2,          10,      -1.863627527,       0.518267139,      0.4701334815,       3.631498202,     0.01981945441,      0.4690550086,                 0,                 0,                 0,     0.08789170438,    0.003437597207,       0.469460962,                 0,       23.66639358
          0,           2,          11,      -1.873242536,      0.5076087685,      0.4687840534,       3.625377854,     0.01982590501,      0.4705823013,                 0,                 0,                 0,     0.08723310587,    0.003390742131,      0.4709875494,                 0,       23.73572864
          0,           2,          12,      -1.880523276,      0.4861198862,      0.4448471539,       3.614973151,      0.0197704595,       0.471715911,                 0,                 0,                 0,      0.0868051974,    0.003295767987,      0.4721185335,                 0,       23.85963316
          0,           2,          13,      -1.887293561,      0.4541750492,      0.4029814605,       3.602891677,     0.01966047894,      0.4725900931,                 0,                 0,                 0,     0.08659292136,    0.003155345908,      0.4729883448,                 0,       24.03756768
          0,           2,          14,      -1.894244073,      0.4183516593,      0.3570139162,        3.59197589,     0.01950848162,      0.4732872978,                 0,                 0,                 0,     0.08655112878,    0.002979109086,      0.4736798202,                 0,       24.26059122
          0,           2,          15,      -1.901267317,      0.3836793849,      0.3170146752,       3.583735542,     0.01932975588,      0.4738765599,                 0,                 0,                 0,     0.08663418895,    0.002779927272,      0.4742624859,                 0,        24.5153929
          0,           2,          16,       -1.90692024,       0.354087885,      0.2873202415,       3.579426755,     0.01914009121,      0.4744335369,                 0,                 0,                 0,     0.08680229162,    0.002570939927,      0.4748125043,                 0,       24.78742299
          0,           2,          17,      -1.911939229,      0.3295476902,       0.264365602,       3.577126614,     0.01895132632,      0.4749941234,                 0,                 0,                 0,     0.08701473815,    0.002362725845,      0.4753661615,                 0,       25.06389871
          0,           2,          18,      -1.917815923,      0.3095316965,      0.2428373728,       3.574194334,     0.01877363662,      0.4755638301,                 0,                 0,                 0,     0.08723419877,    0.002165261911,        0.47592932,                 0,       25.33147092
          0,           2,          19,      -1.926842915,      0.2897374674,      0.2224671016,       3.567618774,     0.01861402546,      0.4761125029,                 0,                 0,                 0,     0.08742558087,    0.001986599571,      0.4764720881,                 0,       25.57815901
          0,           2,          20,      -1.941585423,      0.2688669751,      0.1990801304,       3.554705085,     0.01848103688,       0.476649476,                 0,                 0,                 0,     0.08757355699,    0.001834951914,      0.4770040929,                 0,       25.79127346
          0,           2,          21,      -1.965230154,      0.2405339941,      0.1720288096,       3.532313736,     0.01837467087,      0.4771552782,                 0,                 0,                 0,     0.08766419151,    0.001710998465,      0.4775058748,                 0,       25.96809932
          0,           2,          22,      -1.995064183,      0.2048509155,      0.1409557834,       3.503314538,     0.01830487349,       0.477604934,                 0,                 0,                 0,      0.0877002823,     0.00162555084,      0.4779528208,                 0,       26.09168177
          0,           2,          23,      -2.030794893,      0.1598908901,      0.1028770024,       3.468251404,     0.01826885305,      0.4779867654,                 0,                 0,                 0,     0.08768726243,    0.001576226615,      0.4783331625,                 0,       26.16402705
          0,           2,          24,      -2.070573306,      0.1118074086,     0.05790601871,       3.428715578,     0.01825939999,      0.4783118057,                 0,                 0,                 0,     0.08763259033,     0.00155543557,      0.4786576749,                 0,       26.19537367
          0,           2,          25,      -2.114891443,     0.06234165065,     0.01050023534,       3.384301412,     0.01827133634,      0.4785607566,                 0,                 0,                 0,     0.08754038556,    0.001558676393,      0.4789068908,                 0,       26.19188589
          0,           2,          26,      -2.165205845,     0.01278858767,    -0.04015156973,       3.333579467,     0.01829991738,      0.4787169097,                 0,                 0,                 0,     0.08741871685,    0.001581790355,      0.4790639462,                 0,       26.15951207
          0,           2,          27,      -2.219670383,    -0.03135802262,    -0.09230878925,       3.278422049,     0.01834137973,      0.4787948802,                 0,                 0,                 0,     0.08728373553,    0.001620506312,      0.4791433162,                 0,        26.1046272
          0,           2,          28,      -2.279154409,    -0.06968348848,     -0.1426981625,       3.217794724,     0.01839205417,       0.478816537,                 0,                 0,                 0,     0.08715129204,    0.001670394072,      0.4791667283,                 0,       26.03388032
          0,           2,          29,      -2.340306679,     -0.1057862496,      -0.190036389,       3.154955926,     0.01844537831,      0.4787819152,                 0,                 0,                 0,      0.0870320746,    0.001724894016,      0.4791339886,                 0,       25.95674142
          0,           2,          30,      -2.400531919,     -0.1436977816,     -0.2351938075,       3.092543709,     0.01849582531,      0.4787048856,                 0,                 0,                 0,     0.08693316807,    0.001777998577,      0.4790587665,                 0,       25.88178022
          0,           2,          31,      -2.457805996,     -0.1840837521,     -0.2766325962,       3.032871483,     0.01853950628,      0.4786075498,                 0,                 0,                 0,     0.08686153533,    0.001825049907,      0.4789630144,                 0,       25.81554992
          0,           2,          32,      -2.509786494,     -0.2271637918,     -0.3131004275,       2.978619259,     0.01857365957,      0.4785020175,                 0,                 0,                 0,     0.08681936899,    0.001862865417,      0.4788587383,                 0,       25.76239839
          0,           2,          33,      -2.555664414,     -0.2725764532,     -0.3453402215,       2.930936015,     0.01859692251,      0.4783978389,                 0,                 0,                 0,     0.08680558734,     0.00188974997,      0.4787554351,                 0,       25.72457021
          0,           2,          34,      -2.595945326,     -0.3197280842,     -0.3744268884,       2.889622575,     0.01860923506,       0.478305934,                 0,                 0,                 0,     0.08681804037,    0.001905262455,      0.4786640159,                 0,       25.70261122
          0,           2,          35,      -2.632264013,     -0.3681861365,     -0.4024744921,        2.85309935,      0.0186114752,       0.478237259,                 0,                 0,                 0,     0.08685372912,     0.00190989795,      0.4785954609,                 0,       25.69582765
          0,           2,          36,       -2.66637661,     -0.4167253254,     -0.4313374118,         2.8193683,     0.01860515499,      0.4781997533,                 0,                 0,                 0,     0.08690821749,    0.001904890523,      0.4785577575,                 0,       25.70254069
          0,           2,          37,      -2.699468724,     -0.4635054397,     -0.4620534136,       2.786898339,     0.01859230716,      0.4781970842,                 0,                 0,                 0,     0.08697581652,    0.001892143671,      0.4785546416,                 0,       25.72015834
          0,           2,          38,       -2.73269153,     -0.5063498098,     -0.4952097601,       2.754296153,       0.018575235,      0.4782285427,                 0,                 0,                 0,     0.08704999504,    0.001873984018,      0.4785854851,                 0,       25.74549085
          0,           2,          39,       -2.76692673,     -0.5435532776,     -0.5306855843,       2.720663184,      0.0185561998,      0.4782898248,                 0,                 0,                 0,     0.08712436302,    0.001852821701,      0.4786460656,                 0,       25.77520343
          0,           3,           0,      -2.053796017,       0.398106168,      0.4309230544,       3.432514239,     0.01593494259,      0.4562306612,                 0,                 0,                 0,     0.08098667344,   3.014993245e-06,      0.4565088593,                 0,       28.63083182
          0,           3,           1,      -2.331903144,      0.2150840093,      0.2087600416,       3.173454045,     0.01589323648,      0.4533709921,                 0,                 0,                 0,     0.08098303391,   6.113530481e-05,      0.4536494767,                 0,       28.52603324
          0,           3,           2,      -2.255378523,      0.2860468274,      0.2778312139,       3.237228449,     0.01591678649,      0.4532514189,                 0,                 0,                 0,     0.08218147536,   8.884401304e-05,      0.4535307982,                 0,       28.47631456
          0,           3,           3,      -2.232079401,       0.264361066,      0.2457423193,       3.257529824,     0.01588337353,      0.4516730952,                 0,                 0,                 0,      0.0828998382,   0.0001105341144,      0.4519522699,                 0,       28.43684903
          0,           3,           4,      -2.227042366,      0.2481768164,      0.2396813854,       3.273074517,     0.01579474702,      0.4489802808,                 0,                 0,                 0,     0.08310392793,   0.0001159394603,      0.4492580029,                 0,       28.42592415
          0,           3,           5,      -2.241113386,      0.2360902497,      0.2363285734,       3.261841743,      0.0156919656,      0.4462613575,                 0,                 0,                 0,     0.08317678554,   0.0001081097064,      0.4465371488,                 0,       28.43884372
          0,           3,           6,      -2.271389147,      0.1949934596,      0.1892679998,       3.221369484,     0.01560324205,      0.4440700325,                 0,                 0,                 0,     0.08333716266,   9.591634361e-05,      0.4443440623,                 0,       28.46011303
          0,           3,           7,      -2.300001783,      0.1292622286,     0.09824528758,       3.179532062,     0.01553751666,      0.4424601958,                 0,                 0,                 0,     0.08359675372,   8.641348172e-05,      0.4427329125,                 0,       28.47689277
          0,           3,           8,      -2.315038754,     0.07026220754,    0.003524336626,       3.162777291,     0.01549518111,      0.4413016343,                 0,                 0,                 0,      0.0838957076,   8.453693007e-05,      0.4415735793,                 0,       28.47992749
