"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
1440, 4.223291901096575e-01, 5.426246693891398e-02, 7.706286825689530e-02, 1.471291142488007e-06, -1.246895413595100e-04, 1.026445665549521e-04, -5.263233115818087e+06, -1.248760109796271e+07, 1.442028607084822e+05, -4.102925099132947e+06, -1.322791559940225e+05, 6.821310402975113e+05, 7.964363408900873e+06
1441, 4.586021714532987e-01, 7.496298279996769e-02, 7.513094504599641e-02, 1.363945539509248e-05, -1.786137506073759e-04, 1.585756280496065e-04, -3.707694290519594e+06, -1.112708726306389e+07, -2.326371314890118e+05, -1.663502655122856e+06, 3.402074077603105e+05, 3.721525424753551e+05, 8.678585625999313e+06
1442, 4.640802878804652e-01, 1.237662565774993e-01, 7.479696384066983e-02, 2.862674934905884e-06, -3.061997961495874e-04, 3.912383949196754e-04, -3.392219932910874e+06, -1.064406815771511e+07, -3.399359450225328e+05, -1.153855411661044e+06, 6.276160759438670e+04, 7.009866725226152e+05, 8.698533872380923e+06
1443, 3.786742779133129e-01, 1.874082979873271e+00, 7.866172756021529e-02, -1.496720300855001e-04, -2.144953792214664e-03, 3.782586463274959e-02, 5.543208966916750e+04, -3.334869563856735e+04, -4.572850667299732e+04, 1.231914788643681e+04, 2.181906952791124e+03, 1.319208824460325e+04, 1.127954673684228e+05
1444, 4.277546897494036e-01, 1.894692032978389e+00, 7.680564321531401e-02, -1.461497082948151e-04, -2.104780032364735e-03, 3.848917126978281e-02, 5.146664620156880e+04, -3.796428838097693e+04, -4.570687929928536e+04, 1.331284071052052e+04, -5.526632291546624e+03, 5.523016826366575e+03, 1.117674954300239e+05
1445, 4.235165593200951e-01, 1.946149848603074e+00, 7.700754542442112e-02, -1.484004683363306e-04, -2.129585647686574e-03, 3.987765208111285e-02, 5.235544547778598e+04, -3.640015740615298e+03, -3.950857557691748e+04, 2.087584198474088e+04, 2.586226941189228e+03, 7.561317519948752e+03, 8.507708919687376e+04
1446, 4.207135193676242e-01, 1.848438109861239e+00, 7.713725707047792e-02, -1.448323686286182e-04, -2.095435779886273e-03, 3.721857817288200e-02, 5.665082234735040e+04, -5.852782551352977e+04, -4.412799917576466e+04, 2.060251531064519e+04, -3.026444629595305e+02, 2.334972683771905e+04, 1.337585550388523e+05
1447, 8.650091261341657e-01, 6.189704029895443e-01, 2.616724912453965e-02, 1.382818710148276e-05, -2.662696449828028e-04, 6.638521989759311e-03, -1.672535363384447e+05, 1.332858529605778e+05, -2.014670687001693e+05, -1.426720480875088e+05, 1.027359951256446e+05, 9.809351709859188e+04, 5.155952640428961e+05
1448, 7.415015426921366e-01, 1.965742104521709e+00, 4.577397571261586e-02, -8.227467650473441e-05, -1.303844306572342e-03, 4.108990415345937e-02, 2.078727318245644e+04, 2.946961664481960e+04, -2.176551243411970e+04, 1.552288737422825e+04, 1.349210716957846e+04, 1.034658281537841e+03, 4.603627990081340e+04
1449, 4.197993396778509e-01, 1.480714081816754e-01, 7.717888905180360e-02, 4.159868022966980e-06, -3.605805684001248e-04, 5.360704601303362e-04, -2.984838518818952e+06, -9.886693376637537e+06, 3.081813099888260e+05, -5.765360381854703e+05, 7.673741405597827e+04, 2.569005837144226e+05, 8.399872753383936e+06
