"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          52,      -4.718760205,      -2.104647723,      -2.313975814,      -2.265750378,      0.7553603933,    0.003842596348,       0.309353525,    0.007158721634,      0.2765458467,    -0.05033813347,    0.006995899195,   -0.006956026785,    0.007158721634,      0.3092991799,       80.50638085
          0,           0,          53,      -4.789093989,       -2.16000143,      -2.359485517,      -2.297693653,      0.6908822978,    0.003844525149,      0.3093620777,    0.007158862468,      0.2765472548,    -0.05034959301,    0.006994984476,   -0.006954397643,    0.007158862468,      0.3093077947,       80.46821538
          0,           0,          54,      -4.850480969,      -2.219487492,      -2.387235291,       -2.32827792,      0.6282593845,    0.003843052163,       0.309376525,    0.007158902458,      0.2765544599,    -0.05035567496,    0.006996221777,   -0.006956373934,    0.007158902458,      0.3093221817,         80.502817
          0,           0,          55,      -4.901536275,      -2.280770825,      -2.417969423,      -2.371883041,      0.5708763973,    0.003839599914,      0.3093893851,    0.007158847678,      0.2765627033,    -0.05035549139,    0.006998589932,   -0.006960272892,    0.007158847678,      0.3093349135,       80.57854778
          0,           0,          56,      -4.955699831,      -2.339921634,      -2.466678971,      -2.432102469,      0.5133405879,    0.003835804081,      0.3093956696,    0.007158735274,      0.2765681587,    -0.05035042648,    0.007001002101,   -0.006964285737,    0.007158735274,      0.3093410617,       80.65992502
          0,           0,          57,        -5.0231399,      -2.395780461,      -2.533087877,      -2.502675431,      0.4481094963,    0.003832934934,      0.3093938885,    0.007158612058,       0.276568938,    -0.05034313372,    0.007002670225,   -0.006967090978,    0.007158612058,      0.3093391816,       80.71983841
          0,           0,          58,      -5.099322022,      -2.450235809,      -2.605940419,      -2.573837851,      0.3751956447,    0.003831602813,      0.3093856719,    0.007158515889,      0.2765652283,    -0.05033636368,    0.007003270326,   -0.006968135533,    0.007158515889,      0.3093309235,       80.74575759
          0,           0,          59,      -5.168413506,      -2.504367761,      -2.673665121,      -2.641096158,      0.3043898453,    0.003831759021,      0.3093744651,    0.007158465343,      0.2765587215,    -0.05033204584,    0.007002912105,   -0.006967588308,    0.007158465343,       0.309319729,       80.73954113
          0,           0,          60,      -5.221854015,      -2.556440873,      -2.735308436,      -2.706834895,      0.2457619325,    0.003832905401,      0.3093639498,    0.007158458887,      0.2765516911,    -0.05033086212,    0.007001978458,   -0.006966075648,    0.007158458887,      0.3093092601,        80.7126494
          0,           0,          61,      -5.270428063,      -2.604650061,      -2.796439756,      -2.771598295,       0.196442006,    0.003834384258,       0.309356776,    0.007158481133,      0.2765461026,    -0.05033233138,    0.007000923928,    -0.00696434733,    0.007158481133,      0.3093021423,       80.67964899
          0,           0,          62,       -5.32847911,      -2.650660905,      -2.856267605,      -2.828756229,       0.144500093,     0.00383563252,      0.3093539433,    0.007158512043,      0.2765430396,    -0.05033525173,    0.007000108786,   -0.006963000968,    0.007158512043,      0.3092993549,       80.65265421
          0,           0,          63,      -5.397608279,      -2.698675666,      -2.906688447,      -2.872857495,     0.08339418784,    0.003836329842,      0.3093548746,    0.007158535089,      0.2765425599,    -0.05033826764,     0.00699971191,   -0.006962336573,    0.007158535089,        0.30930031,        80.6382369
          0,           0,          64,      -5.466540209,      -2.751429967,      -2.945612423,      -2.910307196,     0.01731663251,    0.003836425481,      0.3093579876,    0.007158541859,      0.2765439211,    -0.05034034579,    0.006999727475,   -0.006962349634,    0.007158541859,      0.3093034244,       80.63703807
          0,           0,          65,      -5.524575979,      -2.808118304,      -2.983431102,      -2.953802923,    -0.04490346712,    0.003836071904,      0.3093614521,    0.007158532517,      0.2765460137,    -0.05034102687,     0.00700002183,   -0.006962823905,    0.007158532517,      0.3093068745,       80.64537366
          0,           0,          66,       -5.57602573,      -2.865876769,      -3.032164844,      -3.010489136,     -0.1013350197,    0.003835514634,       0.309363839,    0.007158513166,      0.2765478079,     -0.0503404273,     0.00700041435,   -0.006963464138,    0.007158513166,      0.3093092405,       80.65771312
