BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-4.082991656,-4.064729257,5.120621352,-4.014210414
-4.130065788,-4.112273644,5.120621352,-4.062504509
-4.172664318,-4.155222719,5.120621352,-4.107987514
-4.209703054,-4.192568046,5.120621352,-4.148839335
-4.241549155,-4.224681023,5.120621352,-4.183650574
-4.270495199,-4.253578123,5.120621352,-4.213053735
-4.299610326,-4.282107913,5.120621352,-4.239502464
-4.331379051,-4.313035236,5.120621352,-4.266323618
-4.366921128,-4.347740823,5.120621352,-4.296448638
-4.407817721,-4.387859644,5.120621352,-4.33152713
-4.453039927,-4.432312551,5.120621352,-4.371865152
-4.499164899,-4.477910324,5.120621352,-4.415436983
-4.54251375,-4.521284456,5.120621352,-4.459033206
-4.581585012,-4.560773303,5.120621352,-4.500369007
-4.617614652,-4.597124181,5.120621352,-4.538184136
-4.653194069,-4.632556864,5.120621352,-4.573219026
-4.69071078,-4.669400811,5.120621352,-4.6073046
-4.730528868,-4.709339934,5.120621352,-4.642707768
-4.773905689,-4.75308132,5.120621352,-4.681386124
-4.820552807,-4.799995037,5.120621352,-4.724207677
-4.86766505,-4.84727958,5.120621352,-4.770357827
-4.912109176,-4.892239201,5.120621352,-4.817201853
-4.951047398,-4.931768251,5.120621352,-4.860990246
-4.984057795,-4.965043441,5.120621352,-4.898081114
-5.012625185,-4.993912428,5.120621352,-4.928830346
-5.041130375,-5.021896078,5.120621352,-4.955818661
-5.073005263,-5.052711899,5.120621352,-4.982775618
-5.110520041,-5.089074286,5.120621352,-5.013320162
-5.154032766,-5.131909185,5.120621352,-5.049136223
-5.201838314,-5.179852267,5.120621352,-5.091132626
-5.249992039,-5.229123658,5.120621352,-5.137751754
-5.293648465,-5.274518354,5.120621352,-5.185214474
-5.329417763,-5.311976224,5.120621352,-5.2286659
-5.357327504,-5.341048638,5.120621352,-5.264537178
-5.380407491,-5.36481228,5.120621352,-5.292101672
-5.403589255,-5.38760572,5.120621352,-5.315679808
-5.429168715,-5.4129546,5.120621352,-5.339141172
-5.458126168,-5.442677109,5.120621352,-5.365602783
-5.490350141,-5.476712302,5.120621352,-5.395901879
-5.524791128,-5.513269195,5.120621352,-5.430502698
-5.559457086,-5.549503615,5.120621352,-5.467943779
