"arc_length","Vorticity_Magnitude"
0.1708,352.117
0.171,352.12
0.1712,352.123
0.1714,352.126
0.1716,352.129
0.1718,352.132
0.172,352.136
0.1722,352.139
0.1724,352.142
0.1726,352.145
0.1728,352.148
0.173,352.152
0.1732,352.155
0.1734,352.158
0.1736,352.162
0.1738,352.165
0.174,352.168
0.1742,352.172
0.1744,352.175
0.1746,352.179
0.1748,352.182
0.175,352.186
0.1752,352.19
0.1754,352.193
0.1756,352.197
0.1758,352.201
0.176,352.205
0.1762,352.208
0.1764,352.212
0.1766,352.216
0.1768,352.22
0.177,352.224
0.1772,352.228
0.1774,352.232
0.1776,352.236
0.1778,352.24
0.178,352.244
0.1782,352.248
0.1784,352.252
0.1786,352.257
0.1788,352.261
0.179,352.265
0.1792,352.269
0.1794,352.274
0.1796,352.278
0.1798,352.283
0.18,352.287
0.1802,352.291
0.1804,352.296
0.1806,352.3
0.1808,352.305
0.181,352.31
0.1812,352.314
0.1814,352.319
0.1816,nan
0.1818,nan
0.182,nan
0.1822,nan
0.1824,nan
0.1826,nan
0.1828,nan
0.183,nan
0.1832,nan
0.1834,nan
0.1836,nan
0.1838,nan
0.184,nan
0.1842,nan
0.1844,nan
0.1846,nan
0.1848,nan
0.185,nan
0.1852,nan
0.1854,nan
0.1856,nan
0.1858,nan
0.186,nan
0.1862,nan
0.1864,nan
0.1866,nan
0.1868,nan
0.187,nan
0.1872,nan
0.1874,nan
0.1876,nan
0.1878,nan
0.188,nan
0.1882,nan
0.1884,nan
0.1886,nan
0.1888,nan
0.189,nan
0.1892,nan
0.1894,nan
0.1896,nan
0.1898,nan
0.19,nan
0.1902,nan
0.1904,nan
0.1906,nan
0.1908,nan
0.191,nan
0.1912,nan
0.1914,nan
0.1916,nan
0.1918,nan
0.192,nan
0.1922,nan
0.1924,nan
0.1926,nan
0.1928,nan
0.193,nan
0.1932,nan
0.1934,nan
0.1936,nan
0.1938,nan
0.194,nan
0.1942,nan
0.1944,nan
0.1946,nan
0.1948,nan
0.195,nan
0.1952,nan
0.1954,nan
0.1956,nan
0.1958,nan
0.196,nan
0.1962,nan
0.1964,nan
0.1966,nan
0.1968,nan
0.197,nan
0.1972,nan
0.1974,nan
0.1976,nan
0.1978,nan
0.198,nan
0.1982,nan
0.1984,nan
0.1986,nan
0.1988,nan
0.199,nan
0.1992,nan
0.1994,nan
0.1996,nan
0.1998,nan
0.2,nan
