"arc_length","Displacement_Magnitude","Von_Mises_Stress"
1.30398,0.0185,451557
1.30579,0.0185438,448380
1.3076,0.0185875,446899
1.30941,0.0186313,447730
1.31122,0.0186751,449011
1.31303,0.0187189,451432
1.31484,0.0187627,453853
1.31665,0.0188065,455631
1.31846,0.0188505,454268
1.32028,0.0188944,442976
1.32209,0.0189384,431682
1.3239,0.0189823,419910
1.32571,0.0190264,403757
1.32752,0.0190704,387605
1.32933,0.0191144,371452
1.33114,0.0191585,355300
1.33295,0.0192025,339146
1.33476,0.0192466,322994
1.33657,0.0192906,306841
1.33839,0.0193347,298682
1.3402,0.0193789,298080
1.34201,0.0194232,297479
1.34382,0.0194674,310018
1.34563,0.0195117,330998
1.34744,0.019556,351978
1.34925,0.0196003,372957
1.35106,0.0196446,393938
1.35287,0.0196888,414917
1.35469,0.0197332,438426
1.3565,0.0197776,463229
1.35831,0.0198221,480085
1.36012,0.0198666,480464
1.36193,0.0199111,480844
1.36374,0.0199556,481224
1.36555,0.0200001,481604
1.36736,0.0200447,471694
1.36917,0.0200894,460003
1.37099,0.0201341,448313
1.3728,0.0201787,436622
1.37461,0.0202234,425166
1.37642,0.020268,414287
1.37823,0.0203127,403410
1.38004,0.0203574,403527
1.38185,0.0204022,431937
1.38366,0.020447,460349
1.38547,0.0204918,477442
1.38728,0.0205366,471783
1.3891,0.0205815,438453
1.39091,0.0206263,405121
1.39272,0.0206713,377250
1.39453,0.0207162,375744
1.39634,0.0207612,374238
1.39815,0.0208062,372732
1.39996,0.0208511,371226
1.40177,0.0208961,369719
1.40358,0.0209411,368213
1.4054,0.020986,366707
1.40721,0.021031,365201
1.40902,0.021076,363694
1.41083,0.0211209,362188
1.41264,0.021166,358219
1.41445,0.021211,354058
1.41626,0.0212561,358269
1.41807,0.0213013,363611
1.41988,0.0213465,361995
1.4217,0.0213916,352237
1.42351,0.0214368,343914
1.42532,0.0214821,337725
1.42713,0.0215274,331536
1.42894,0.0215726,326507
1.43075,0.0216179,325435
1.43256,0.0216631,324363
1.43437,0.0217083,323291
1.43618,0.0217536,321571
1.438,0.0217991,318728
1.43981,0.0218445,315885
1.44162,0.0218899,313043
1.44343,0.0219354,310200
1.44524,0.0219808,307358
1.44705,0.0220262,304515
1.44886,0.0220717,303092
1.45067,0.0221171,302910
1.45248,0.0221625,302737
1.45429,0.0222079,302564
