"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
4297, 6.584590762552905e-01, 1.014863240472400e+00, -2.618368304865486e-02, -1.078844818621537e-09, 2.397304667749093e-10, -8.917257376670660e-09, 6.709523416774247e+03, 7.186846333990223e+03, -5.735712602912804e+02, 1.063027406262041e+04, 1.387213166946518e+03, -5.965507654509267e+02, 4.642877360977452e+03
4298, 6.425945934340285e-01, 1.026848377796876e+00, -2.604376148533352e-02, -1.575917318889173e-09, 1.517029270052334e-09, -1.844203050366302e-08, 1.207758383930246e+04, 1.321895837115479e+04, -4.911076660145781e+02, 2.403611761410757e+04, 4.738547181843976e+02, -1.600163579521058e+02, 1.149495936405979e+04
4299, 6.609068399662043e-01, 1.034593262399422e+00, -2.591254478093492e-02, -1.369478222110823e-09, 1.297855981562320e-09, -6.463371164491627e-09, 6.703588878978583e+03, 6.976267635125146e+03, -5.805756754349165e+02, 8.597723823692535e+03, 1.694476291825001e+03, 3.991265617950113e+03, 7.782105646071959e+03
4300, 6.767702304022182e-01, 1.022605813144974e+00, -2.586315667587813e-02, -5.837904808582230e-10, 6.457530554950895e-11, -1.308869888580901e-08, 1.008728256694828e+04, 9.284779195576753e+03, 7.923380799274301e+01, 1.765387935818563e+04, 1.347916493317271e+03, 1.350015555028990e+03, 8.654866532842723e+03
4301, 6.792186475921758e-01, 1.042336919016337e+00, -2.563708881225589e-02, -1.100499837917420e-09, 7.687230665526215e-10, -4.767812189594165e-09, 3.473828033707731e+03, 4.414193329088967e+03, -2.809264309564986e+02, 5.480294384517493e+03, 1.816620018561376e+03, 2.681369167719901e+03, 5.893190008660671e+03
4302, 6.633542085922605e-01, 1.054323596837564e+00, -2.562023721066805e-02, -1.143633419426259e-09, 1.097883887287608e-09, -5.808218937650318e-09, 4.244945129835434e+03, 5.201606686154056e+03, -6.458863268859915e+02, 7.127504291207739e+03, 1.583436736761128e+03, -3.050437602709349e+03, 6.569288162538536e+03
4303, 6.816663239355092e-01, 1.062067784514918e+00, -2.539609396795206e-02, -1.400148999544555e-09, 1.050024188409011e-09, -4.883735524535912e-09, 4.989834034774778e+03, 4.556123585401335e+03, -6.172356888496613e+02, 6.784220342548144e+03, 3.340884438024523e+03, -2.598571310511133e+03, 7.685789211669890e+03
4304, 6.658016039060978e-01, 1.074053320904046e+00, -2.530590969284337e-02, -2.129718252337228e-09, 1.653195461257509e-09, -1.344941244201893e-08, 1.050155897205626e+04, 8.396982730729256e+03, 2.458849884767664e+02, 1.745867476770465e+04, 2.121315893243017e+03, -1.607748028032123e+03, 9.429123223591643e+03
4305, 6.841137158652217e-01, 1.081798157949126e+00, -2.513709454245174e-02, -5.091545550496477e-10, 8.198420531151265e-10, -5.145508469612542e-09, 4.073453216494139e+03, 2.737065989432284e+03, 2.391636786551727e+02, 7.257620911535496e+03, 3.426106896504952e+03, 1.416808782744487e+03, 7.588702151373518e+03
4306, 6.682489999851497e-01, 1.093782295845216e+00, -2.496509364191851e-02, -1.646619303133135e-10, 4.726386474207964e-10, -6.791656884826643e-09, 6.008448182207415e+03, 4.822778302141131e+03, -6.401757286574669e+02, 7.341205553291649e+03, 5.151793469001753e+03, 2.972757396265255e+02, 9.267134771629893e+03
4307, 6.865608837125261e-01, 1.101527991881448e+00, -2.485948096537734e-02, -1.021901878395267e-09, 8.059366034601779e-10, -4.731787219429890e-09, 4.151197034482792e+03, 3.725654381311514e+03, 1.918275322484130e+02, 7.166936055204433e+03, -1.862521076743378e+03, -1.271856096373412e+03, 5.092081642598961e+03
4308, 6.706965469808049e-01, 1.113510392694497e+00, -2.459595410627288e-02, -1.186973457383977e-09, 1.017268899435166e-09, -5.023852696946179e-09, 4.442779270152093e+03, 4.187509649428470e+03, -6.116844201392084e+01, 9.252542858376319e+03, 4.215681782614840e+03, 3.634468128919427e+03, 1.083429711762183e+04
4309, 6.890078409843595e-01, 1.121257129152159e+00, -2.455893684176780e-02, -1.044829429861014e-09, 7.407753418716757e-10, -3.869873535664566e-09, 3.090370485282710e+03, 3.529827727803893e+03, 3.736879906788969e+02, 4.194122030280588e+03, -1.385523398559538e+03, 1.319943167778978e+03, 3.511558320204334e+03
4310, 7.048719322422474e-01, 1.109271548606148e+00, -2.459880338933306e-02, -1.291127275813437e-09, 5.810934333734319e-10, -1.229799430507054e-08, 7.728802030197219e+03, 7.163873186736063e+03, 1.558202728385780e+01, 1.433118222386968e+04, 5.426076194384638e+02, -3.501558409071793e+02, 6.992300669334812e+03
4311, 7.073194293144279e-01, 1.129001930576369e+00, -2.435309609825806e-02, -1.240874035985273e-09, 9.138026149078604e-10, -5.053736684015940e-09, 2.666461263135361e+03, 5.196933159168000e+03, -7.873378749826749e+02, 5.097891011897083e+03, -3.083427675070315e+02, 2.023214341471948e+03, 4.537355108754104e+03
4312, 6.914545650269767e-01, 1.140986380565480e+00, -2.423463044025523e-02, -1.040071716408098e-09, 1.151144878566376e-09, -4.058714855369388e-09, 3.057202310562127e+03, 6.356693784902876e+03, -2.644590125807372e+01, 8.382904715196408e+03, -7.451972862167668e+02, -6.368297662627300e+03, 1.204206547547867e+04
4313, 7.097661462744618e-01, 1.148731915123790e+00, -2.408874368414188e-02, -3.077276185498958e-09, 2.275675597291752e-09, -6.732907229998863e-09, 8.110368328473965e+03, 8.455642594344081e+03, -6.333417616170919e+02, 1.673385585445027e+04, 5.725357109931073e+03, -4.753056229282568e+03, 1.545391280972151e+04
4314, 6.939014181346735e-01, 1.160714774796541e+00, -2.388100421773355e-02, -2.472291603488875e-09, 8.926716444050575e-10, -2.505300356068967e-08, 2.479694376291937e+04, 2.565868771059127e+04, 7.160131230498150e+02, 5.770266308742329e+04, 1.323016551187657e+03, -1.404898566758318e+03, 3.267847954132238e+04
4315, 7.122126196937211e-01, 1.168461279813751e+00, -2.380344656405809e-02, -1.340563914022137e-09, 6.348634680022117e-10, -5.893288808303534e-09, 6.634685440052630e+03, 5.226965953695741e+03, 6.132228975574794e+02, 8.835431736956343e+03, 6.540646466248856e+03, 1.244236473635494e+02, 1.180837546616724e+04
4316, 7.280765768338069e-01, 1.156475531158037e+00, -2.379213208033455e-02, -1.446036186113864e-09, 1.081597451912240e-09, -4.896830157307776e-09, 5.102257777804448e+03, 2.832536462803389e+03, -2.660645047294551e+01, 5.674194828088866e+03, -3.659225706561421e+02, 1.305338020410915e+03, 3.506055944574405e+03
4317, 7.305237166276983e-01, 1.176206102594647e+00, -2.355953041680564e-02, -9.331653123564568e-10, 7.743900343064695e-10, -4.140138131797836e-09, 5.702311096219994e+03, 5.362842788758537e+03, -2.108933362213108e+02, 7.720843094685419e+03, 1.289285922189660e+03, -4.019195567571564e+03, 7.645713792582948e+03
