"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
769, 1.560501873461330e+00, 6.992387295460656e-01, -1.989742027605579e-03, 7.280320929853508e-06, -8.641990335704305e-07, -5.011156075693647e-09, 6.153867299032749e-06, 9.061187850588600e-06, 0.000000000000000e+00
770, -8.339578383110891e-01, 1.132844879900934e-01, -1.130715949838225e-02, 7.870337290824055e-05, 2.613875152737134e-06, -1.464134167296004e-09, 1.779086140391948e-05, -9.410360944234876e-05, 0.000000000000000e+00
771, 2.476803698988669e-01, -1.040511525820695e+00, 2.606155441691075e-03, -1.427459746155976e-05, 4.504852186276858e-06, 1.309785792815313e-08, -1.566508080226565e-05, -2.535309167665585e-06, 0.000000000000000e+00
772, -1.831265620667729e-01, 5.955520498996933e-01, -7.260725742302972e-05, 1.483116821793463e-06, -7.983187968361941e-06, 1.020319027634924e-09, -2.032385398920748e-04, -1.925291763665637e-05, 0.000000000000000e+00
773, 1.006353121465057e+00, -3.819054149436316e-01, 7.764726857791536e-04, -4.659415776728268e-06, -9.819506153768153e-06, 5.472419910937345e-09, 2.792709525910052e-05, 2.769178355993605e-05, 0.000000000000000e+00
774, 1.607710268840286e+00, -5.624606740192031e-01, -1.330467515430312e-03, 4.207403912785528e-06, -4.179299115287020e-06, -2.060002102722093e-09, -4.676168168428888e-06, -1.694129131428326e-05, 0.000000000000000e+00
775, 1.443727782068239e+00, -4.575780396399572e-01, -1.174272011106480e-03, 3.810190830251145e-06, -5.400686029340041e-06, -2.907888158688595e-09, 1.144787908580441e-05, -7.267448905350243e-06, 0.000000000000000e+00
776, 1.407349969872519e+00, -2.944508479715160e-01, -1.329541138611359e-03, 4.562243415921492e-06, -4.940974110976848e-06, -2.801062628351303e-09, 2.268103661524306e-05, -7.697670312132714e-06, 0.000000000000000e+00
777, 1.097829098396846e+00, -6.214796647137269e-02, -1.143044426385881e-03, 4.780035533502777e-06, -5.642557473621413e-06, -2.149709149835490e-09, -3.550583788398723e-05, -1.038657705678617e-04, 0.000000000000000e+00
778, 1.026392052796254e+00, -1.177420839723053e-02, -9.515915553843038e-04, 4.388409525025605e-06, -6.361046852070126e-06, -2.477136240823358e-10, 2.703093002560258e-04, 1.132924030957067e-03, 0.000000000000000e+00
779, 1.025504585843836e+00, 1.113466170281510e-02, -7.449256195989128e-04, 3.176461383710328e-06, -2.398259405932920e-06, -2.220604995458548e-09, -3.609661075015699e-03, -7.787520644141225e-03, 0.000000000000000e+00
780, 1.967002756278255e-01, 2.566106587718499e-01, 8.383748146489468e-03, -3.107269536486812e-05, -5.449796408213411e-06, 3.376422104019002e-08, 4.082785649868775e-04, -1.601086814964426e-04, 0.000000000000000e+00
781, 6.529140382866888e-01, 9.115277807661319e-01, -9.548601840503810e-04, 2.704956526828629e-06, 1.063175335707451e-05, -1.941051077262640e-09, -3.114555143258711e-05, 1.150729799178232e-04, 0.000000000000000e+00
782, 1.182774341240444e+00, -2.689727573725626e+00, 3.574506261032313e-04, -4.162247310302662e-06, -2.565475128853853e-06, 4.593669815171020e-09, 1.475419080431828e-06, -3.840021409741552e-07, 0.000000000000000e+00
783, -8.163982407039843e-01, -3.053611774240626e+00, 2.261755390031840e-04, -3.428580534611716e-06, 1.775054542228405e-06, 3.855941791407204e-09, -3.579364332902401e-07, -9.460519979714662e-08, 0.000000000000000e+00
784, -1.054389972457062e+00, -3.801015174416827e-01, 4.492703249083923e-03, -3.653673634066910e-05, -2.310345278779687e-06, -7.253678847316965e-10, -2.116236158986073e-05, 1.737599895728769e-06, 0.000000000000000e+00
785, -1.968729848304543e+00, -3.637250490017846e+00, 1.594905966077313e-04, -3.009083887652639e-06, 1.662033742607243e-06, 3.277486895568033e-09, -2.800311453455860e-08, 6.551103420233539e-09, 0.000000000000000e+00
786, 3.457429763165008e-01, 1.237504004663817e-01, 1.158012046236012e-04, 1.727310200556501e-06, 9.283060748725385e-07, 2.356939705196127e-10, 4.446369762350166e-06, -1.471974571544176e-04, 0.000000000000000e+00
787, -2.629291097022475e-01, -1.907731425310125e-01, 2.397661508426629e-03, -2.422031534351407e-05, -5.504600975567397e-06, -5.066049654000785e-09, -1.285310131267260e-03, 3.083320714112111e-04, 0.000000000000000e+00
788, 9.329811530957173e-01, -7.077957728594361e-03, 1.322712829889273e-03, -7.648717878199333e-06, -5.813123922390788e-06, 8.885233092699257e-09, 1.241305899067882e-04, 9.682913337979015e-05, 0.000000000000000e+00
789, 9.243045082010138e-01, -3.761436413938176e-02, 1.996310178229436e-03, -8.405299603552166e-06, -1.709844745772754e-06, 2.408606731416219e-09, 3.034613996048864e-05, 4.997440122590145e-05, 0.000000000000000e+00
790, 9.097826454097355e-01, 5.315910844637728e-02, -9.617980854604991e-04, 5.953790419932337e-06, 1.504192670279673e-05, 1.167767554460722e-08, 6.629844111511626e-05, -3.204256037555662e-04, 0.000000000000000e+00
791, 3.291704870882675e-01, 1.441050494340200e-01, 8.866334549831451e-04, -1.853853578736198e-06, 1.536673212256366e-06, 2.849755878432836e-09, 3.226998107944568e-05, -4.904714654045252e-06, 0.000000000000000e+00
